2023-02-18 06:04:48,272 INFO    MainThread:12968 [wandb_setup.py:_flush():68] Configure stats pid to 12968
2023-02-18 06:04:48,273 INFO    MainThread:12968 [wandb_setup.py:_flush():68] Loading settings from /home/shackleford/.config/wandb/settings
2023-02-18 06:04:48,273 INFO    MainThread:12968 [wandb_setup.py:_flush():68] Loading settings from /mnt/shares/yolov7b/wandb/settings
2023-02-18 06:04:48,273 INFO    MainThread:12968 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-18 06:04:48,273 INFO    MainThread:12968 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train_Ncla_nPoint.py', 'program': 'train_Ncla_nPoint.py'}
2023-02-18 06:04:48,273 INFO    MainThread:12968 [wandb_init.py:_log_setup():476] Logging user logs to /mnt/shares/yolov7b/wandb/run-20230218_060448-2uz5wa17/logs/debug.log
2023-02-18 06:04:48,273 INFO    MainThread:12968 [wandb_init.py:_log_setup():477] Logging internal logs to /mnt/shares/yolov7b/wandb/run-20230218_060448-2uz5wa17/logs/debug-internal.log
2023-02-18 06:04:48,273 INFO    MainThread:12968 [wandb_init.py:init():516] calling init triggers
2023-02-18 06:04:48,274 INFO    MainThread:12968 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'weights': '../yolov7-tiny.pt', 'cfg': 'cfg/yolov7-tiny-pose.yaml', 'data': 'data/coco_kpts_local.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.1, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'kpt': 0.1, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.0, 'mosaic': 1.0, 'mixup': 0.0}, 'epochs': 300, 'batch_size': 16, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '0', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': 'true', 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'tiny', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'kpt_label': 'true', 'freeze': 0, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs/train/tiny', 'total_batch_size': 16}
2023-02-18 06:04:48,274 INFO    MainThread:12968 [wandb_init.py:init():569] starting backend
